path,title,type,audience,disposition,reason
"docs/_style/docs-review-checklist.md","Docs Review Checklist","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/naming-standard.md","Naming Standard","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/placement.md","Placement Decision Tree","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/stability-levels.md","Stability Levels","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/structure-templates.md","Structure Templates","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/style-guide.md","Style Guide","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/terms-glossary.md","Terms Glossary","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/_style/writing-rules.md","Writing Rules","unspecified","unspecified","MERGE","policy content to consolidate under governance"
"docs/adrs/ADR-0001-workspace-boundaries-and-effects.md","ADR-0001: Workspace Boundaries And Effects","unspecified","unspecified","MERGE","move under governance/adrs canonical location"
"docs/adrs/ADR-0002-sqlite-serving-store.md","ADR-0002: SQLite As Canonical Serving Store","unspecified","unspecified","MERGE","move under governance/adrs canonical location"
"docs/adrs/ADR-0003-federated-registry-deterministic-merge.md","ADR-0003: Federated Registry With Deterministic Merge","unspecified","unspecified","MERGE","move under governance/adrs canonical location"
"docs/adrs/ADR-0004-plugin-contract-and-umbrella-dispatch.md","ADR-0004: Plugin Contract And Umbrella Dispatch","unspecified","unspecified","MERGE","move under governance/adrs canonical location"
"docs/adrs/ADR-0005-security-defaults-and-enterprise-controls.md","ADR-0005: Security Defaults And Optional Enterprise Controls","unspecified","unspecified","MERGE","move under governance/adrs canonical location"
"docs/adrs/INDEX.md","ADR Index","unspecified","unspecified","MERGE","move under governance/adrs canonical location"
"docs/api/caching.md","API Caching","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/compatibility.md","API Compatibility","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/default-field-set.md","Default Field Set (`/v1/genes`)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/deprecation.md","API Deprecation","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/errors.md","API Errors","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/index.md","API","guide  ","unspecified","KEEP","canonical section entrypoint"
"docs/api/pagination.md","API Pagination","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/v1-surface.md","V1 API Surface","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/v2-plan.md","API v2 Plan (Stub)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/api/versioning.md","API Versioning","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/architecture-map.md","Architecture Map","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/backend-architecture.md","Backend Architecture","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/boundaries.md","Bijux Atlas Crate Boundaries","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/boundary-maps.md","Effects Boundary Maps","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/build-serve-split.md","Build/Serve Split","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/cache-manager.md","Cache Manager Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/component-responsibilities.md","Component Responsibilities","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/crate-boundary-dependency-graph.md","Crate Boundary Dependency Graph","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/crate-layout-contract.md","Crate Layout Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/data-access-patterns.md","Data Access Patterns","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/decision-template.md","Decision Template","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/effects.md","Effects And Boundaries","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/index.md","Architecture","concept  ","unspecified","KEEP","canonical section entrypoint"
"docs/architecture/layering/INDEX.md","Layering Architecture","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/architecture/layering/boundary-rules.md","Layer Boundary Rules","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/layering/no-layer-fixups.md","Layer Rule: No Cross-Layer Fixups","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/layout-shell-migration.md","Layout shell-to-python transition checklist","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/no-layer-fixups.md","No Layer Fixups Addendum","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/no-serving-writes.md","No Serving Writes Invariant","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/overload-and-degradation.md","Overload And Degradation Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/policy-enforcement-map.md","Policy Enforcement Map","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/query-connection-strategy.md","Query Connection Strategy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/removed-compatibility-paths.md","Removed Compatibility Paths","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/repo-overview.md","Repository Overview","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/scripting.md","Scripting Architecture Contract (Historical Transition Note)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/store-and-registry.md","Store And Registry Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/architecture/system-graph.md","Architecture Diagram","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/INDEX.md","Contracts SSOT","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/contracts/README.md","Contracts SSOT and Generation","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/artifacts/INDEX.md","Contracts Artifacts Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/contracts/artifacts/directory-contract.md","Artifact Directory Contract (SSOT)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/artifacts/manifest-contract.md","Artifact Manifest Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/artifacts/sqlite-schema-contract.md","SQLite Schema Contract (Ingest)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/artifacts/sqlite-schema-evolution-strategy.md","SQLite Schema Evolution Strategy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/breaking-change-examples.md","Breaking Change Examples","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/chart-values.md","Chart Values Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/compatibility.md","Compatibility Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/config-keys.md","Config Keys Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/contract-change-checklist.md","Contract Change Checklist","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/contract-diff.md","Contract Diff Review","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/contracts-index.md","Contracts Index","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/endpoints.md","Endpoints Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/errors.md","Error Codes Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/examples/INDEX.md","Contract JSON Examples","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/contracts/fasta-derived-metrics.md","Fasta-Derived Metrics Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/gff3-acceptance.md","GFF3 Acceptance Contract (v1)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/metrics.md","Metrics Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/normalized-format.md","Normalized Ingest Format Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/plugin/INDEX.md","Contracts Plugin Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/contracts/plugin/conformance-checklist.md","Bijux Plugin Conformance Checklist","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/plugin/mode.md","Bijux-Atlas Plugin Mode","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/plugin/spec.md","Bijux Plugin Specification v1","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/plugin/umbrella-plugin-contract-v1.md","Umbrella Plugin Contract v1","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/qc.md","Ingest QC Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/ssot-workflow.md","SSOT Workflow","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/contracts/tracing.md","Trace Spans Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/control-plane/contracts.md","Contracts Control Plane","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/control-plane/ops-boundary.md","Ops Boundary","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/dev/check-failures.md","Check Failures Closure Guide","unspecified","unspecified","DELETE","legacy mirror or superseded entrypoint group"
"docs/development/add-dataset-type.md","Add a New Dataset Type","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/add-endpoint.md","Add a New Endpoint","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/add-metric-span.md","Add a New Metric or Span","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/cargo-profiles-ssot.md","Cargo Profiles SSOT","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/cargo.md","Cargo Execution Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/INDEX.md","Development Ci Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/development/ci/cache-policy.md","CI Cache Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/ci.md","CI Surface","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/coverage.md","Coverage Runner Notes","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/dependency-update-policy.md","Dependency Update Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/reproducible-build-hints.md","Reproducible Build Hints","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/security-audit-policy.md","Security Audit Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ci/supply-chain-and-runtime-security.md","Supply Chain and Runtime Security Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/config-changelog.md","Config Changelog","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/config-versioning.md","Config Versioning","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/configs-layout.md","Configs Layout","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/contributing.md","Contributing","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/crates-map.md","Crates Map","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/dataset-identity.md","Dataset Identity Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/docs-depth-contract.md","Docs Depth Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/index.md","Development","guide  ","unspecified","KEEP","canonical section entrypoint"
"docs/development/local-noise.md","Local Noise Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/make-targets-inventory.md","Make Targets Inventory","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/make-targets.md","Make Targets Inventory","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/makefiles/INDEX.md","Development Makefiles Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/development/makefiles/surface.md","Make Public Surface","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/naming-and-wording-conventions.md","Naming and Wording Conventions","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/normalized-format.md","Normalized Format (Debug)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ops-canonical-layout.md","Ops Canonical Layout","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/ops-intent-naming.md","Ops Intent-Based Naming","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/reorg-plan.md","Reorganization Invariants Plan","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/repo-layout.md","Repository Layout","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/repo-surface.md","Repository Surface","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/root-inventory.md","Root Inventory","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/script-naming.md","Script Naming Convention","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/scripts-graph.md","Scripts Graph","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/snapshot-test-policy.md","Snapshot Test Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/style/INDEX.md","Style Docs Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/development/style/why-this-layout.md","Why This Layout","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/symlinks.md","Symlink Index","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/task-runner-removal-map.md","Control Plane Replacement Map","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tool-config-shims.md","Tool Config Shims","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/INDEX.md","Tooling","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/development/tooling/build-outputs.md","Build Outputs","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/command-inventory.md","Command Inventory","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/compat-matrix.md","Scripts Compatibility Matrix","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/control-plane.md","Control Plane: bijux-dev-atlas","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/dev-atlas-docs.md","Dev Atlas Docs Commands","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/dev-atlas-ops.md","Dev Atlas Ops Ownership","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/make-workflow-governance-entrypoints.md","Make And Workflow Governance Entrypoints","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/naming-policy.md","Tooling Naming Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/ops-command-inventory.md","Ops Command Inventory","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/release-packaging-plan.md","Release Packaging Plan","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/rust-toolchain.md","Rust Toolchain Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/scripts-compat-policy.md","Scripts Compatibility Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/tools.md","Tooling Directory Intent Map","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/development/tooling/versioning-alignment.md","Versioning Alignment","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/docs/checks.md","Docs Checks Contract","unspecified","unspecified","DELETE","legacy mirror or superseded entrypoint group"
"docs/engineering/lints.md","Lint Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/examples/INDEX.md","Examples Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/examples/catalog-example.md","Catalog Example","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/examples/curl-requests.md","Curl Requests","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/glossary.md","Glossary","reference  ","unspecified","KEEP","reader spine or root governance control"
"docs/governance/DOCS_FRONT_MATTER.md","Docs Front Matter Contract","unspecified","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/DOCS_OWNERSHIP.md","Documentation Ownership Policy","unspecified","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/DOCS_QUALITY_POLICY.md","Docs Quality Policy","unspecified","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/decision-template.md","Documentation Decision Template","policy  ","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/docs-baseline-checklist.md","Documentation Baseline Checklist","unspecified","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/docs-operating-model.md","Documentation Operating Model","unspecified","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/docs-removal-policy.md","Documentation Removal Policy","policy  ","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/docs-review-checklist.md","Documentation Review Checklist","policy  ","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/governance/index.md","Governance","policy  ","unspecified","KEEP","canonical section entrypoint"
"docs/governance/style-guide.md","Governance Style Guide","policy  ","unspecified","KEEP","canonical policy or required placeholder/runbook"
"docs/index.md","Atlas Documentation","unspecified","unspecified","KEEP","reader spine or root governance control"
"docs/operations/DOCS_CONVERGENCE_POLICY.md","Docs Convergence Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/DOCS_STRUCTURE_FREEZE.md","Docs Structure Freeze","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/EXAMPLE_INCIDENT_WALKTHROUGH.md","Example Incident Walkthrough","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/EXAMPLE_RELEASE_WALKTHROUGH.md","Example Release Walkthrough","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/REDIRECT_EXPIRY_WORKFLOW.md","Redirect Expiry Workflow","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/air-gapped-install.md","Air-Gapped Install and Artifact Mirroring","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/cache-topology.md","Cache Topology: Per-Node vs Per-Pod","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/cached-only-slo.md","Cached-Only Mode SLO","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/canonical-workflows.md","Canonical Workflows","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/config.md","Runtime Config Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/container.md","Container and Kubernetes","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/dataset-promotion-pipeline.md","Dataset Promotion Pipeline","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/datasets.md","Dataset Operations","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/deploy.md","Deploy","runbook  ","operator  ","KEEP","canonical policy or required placeholder/runbook"
"docs/operations/e2e/INDEX.md","E2E Operations Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/operations/e2e/fixtures.md","E2E Fixtures","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/e2e/k8s-tests.md","E2E Kubernetes Tests","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/e2e/realdata-drills.md","E2E Realdata Drills","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/e2e/stack.md","E2E Stack","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/e2e/what-e2e-is-not.md","What E2E Is Not","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/entrypoints.md","Ops Entrypoints","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/evidence-policy.md","Evidence Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/fixture-dataset-ingest.md","Fixture Dataset Ingest","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/full-stack-local.md","Full Stack Local","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/health-endpoint-semantics.md","Health Endpoint Semantics","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/how-to-run-locally.md","How To Run Locally","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/incident-response.md","Incident Response","runbook  ","operator  ","KEEP","canonical policy or required placeholder/runbook"
"docs/operations/index.md","Operations","runbook  ","unspecified","KEEP","canonical section entrypoint"
"docs/operations/input-sources.md","Input Sources","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/INDEX.md","Kubernetes Operations Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/operations/k8s/autoscaling-contract.md","Autoscaling Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/canary-progressive-delivery.md","Canary Progressive Delivery Notes","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/chart.md","Helm Chart Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/cluster-resource-profile.md","Cluster Resource Profile","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/crd-dependency-policy.md","CRD Dependency Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/dataset-locality-and-shard-scaling.md","Dataset Locality And Shard-Aware Scaling","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/k8s-test-contract.md","K8s Test Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/kustomize-policy.md","Kustomize Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/network-policy-correctness.md","Network Policy Correctness","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/node-local-shared-cache-profile.md","Node-Local Shared Cache Profile","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/packaging-and-ops.md","Kubernetes Packaging and Operational Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/plugin-mode-entrypoint.md","Plugin-Mode Entrypoint (Kubernetes)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/rbac-minimalism.md","Role-Based Access Control Minimalism","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/release-install-matrix.md","Release Install Matrix","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/values-schema.md","Chart Values Schema Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/values.md","Kubernetes Values","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/warm-on-rollout.md","Warm-On-Rollout Hook","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/k8s/when-layer-drift-fails.md","When Layer Drift Fails","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/kind-profile.md","Kind Profile","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/kubernetes.md","Kubernetes Operations","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/INDEX.md","Operations Load Index","unspecified","unspecified","MERGE","replace uppercase index with lowercase index.md where retained"
"docs/operations/load/baseline-update-policy.md","Baseline Update Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/ci-policy.md","Load CI Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/k6.md","Atlas Load Harness (k6)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/perf-acceptance-checklist.md","Perf Acceptance Checklist","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/reproducibility.md","Load Reproducibility","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/result-contract.md","Load Result Contract","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/runtime-policy.md","Compose Vs Kind Policy","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/load/suites.md","Load Suites","unspecified","unspecified","MERGE","consolidate into canonical section pages"
"docs/operations/local-stack.md","Local Stack (Make Only)","unspecified","unspecified","MERGE","consolidate into canonical section pages"
